Tweet,Class
بس بحكي منطق عالقليلة يا بهلة,Offensive
المحسوبيات ما بينعملن ثورة بس جبران باسيل اذا بارز عالساحة اكتر من غيرو منتذكر الثورة,Non-Offensive
انت كول هوا نحن حرين إنتوا أعداء الله والإنسانية على الأرض,Offensive
ليش بدك تلزقيني تهمة مالي دخل فيها قال عرب قال اختي الكريمة انا ابن الشام ابا عن جد نحنا اصلنا سريان هدول حضارتن قبل حضارة العرب ازا اللهم كان عندن حضارة بشي سنة,Non-Offensive
في الداخل وفي الخارج موقفنا واحد لا يتغير لبنان ولبنان وثم لبنان هذا هو جبران باسيل,Non-Offensive
قمة السعادة لما تحضر منا وجر,Non-Offensive
يا خليك بحالك احلا ما تسير هلق ,Non-Offensive
رسمة قديمة رسمتها لرزان زيتونة رزان تمثل لي أحلى شي بسوريا وأحلى شي بثورة,Non-Offensive
البنى التحتية عنا عاملة تحتا,Non-Offensive
جبران باسيل اكثر الساسة نفاقا,Offensive
عفكرة اذا حطينا تنين جبران باسيل فوق بعضهن بيطلعو واحد تميم بن حمد,Non-Offensive
هه والشام مو عرب ياغبي صراحه مررره ذكي كيف تتكلم العربيه وتقولي مو عربي غبى بجد,Offensive
هيدا كل ما بيخسر بالقمار بيرفع الهجوم مش عارف إنو جبران باسيل واللي متلو لا يرشوا ولا يرتشوا,Non-Offensive
هل تعلم يا عزيزي المتفاخر بأن الاورثوذوكسية ما زالت حية في فينيقيا بأن الفينيقيين ما كانوا مسيحيين,Non-Offensive
الله لا يعطيكم العافية فوق تعبكم لو ضلينا روم افضل و نحنا رومان اصلا و سريان يا امة الجهل و الخرف و الهبل,Offensive
ضياع الهوية السورية هلأ نحنا سوريين ولا عرب سوريين ولا كرد سوريين ولا آشور ولا سريان ولا تركمان,Non-Offensive
الفرق بينا وبينكم ياعرب انو نحنا مشرقيون و كلدان و اشور و روميون و سريان نحن ابناء الفينيقيين اسلام ومسيحين نحن اهل المشرق وسكانه الاصليين,Non-Offensive
هو ما قال اسرائيل لها حق بالأمان مين عم يترجملك يا أخ,Non-Offensive
نحن فينيقيين ولسنا العرب اعوذ بالله من اصول العرب ههه العرب جرب,Offensive
لولا الفلسطينيين واللبنانين والشاميين لكان انتو لليوم تشربوا بول البعير تاكلون بصحن وتبزقون منو,Offensive
مش عيب تخبرنا شو بتقلك امك عنك لعمى كل هودي انت يلا ولا صرصور انقبر,Offensive
وزير الاتصالات القادم واحد منهم ايه بس هالمرة غير ,Non-Offensive
معلومات الخطوة القطرية اتت اثر مشاركة امير قطر في قمة بيروت وبعد مساع بذلها وزير الخارجية جبران باسيل,Non-Offensive
ملعون هو وابوه وابو عيلتو وابو اسرائيل على ابو الي بدو يروح ع اسرائيل لعمى اوقح من السوريين المعارضين وانذل واخون انا ماشفت ولاعيني رأت,Offensive
معاليك دائما على حق ,Non-Offensive
ترانا نحتاج الى حبة عنفوان ونبذة تعالي ورشة كرامة كما وترانا نحتاج الى تغيير الطبقة السياسية,Non-Offensive
اكيد حكي عن حقه بعدد الوزارات يلي بيستحقها التكتل,Non-Offensive
بمناسبة عيد العمال يتقدم شباب لبنان العاطل عن العمل من الأشقاء والعمال السوريين بأحر التهاني,Non-Offensive
مياومو الإعلام كل شائعة فيها جبران باسيل بيغلى سعرها,Non-Offensive
طل الملك طل الله القوات والحكيم وبس ولك يقبرني الله,Non-Offensive
بس تفل انت ويلي جابك بيظبط البلد ,Non-Offensive
غلط كل هدول كرمال جبران باسيل,Non-Offensive
سوريا لا تعطي شكات بل تعطي الكرامة و عزت النفس و العروبة ,Non-Offensive
صدقت وأنت كذوب ,Offensive
باسيل من بيت الوسط يتم البحث بأفكار عدة لتشكيل الحكومة,Non-Offensive
طز فيك لك اي عرب انتو يلي دمرتو الأمة العربية وقفتو إسرائيل على قدميها وجعلتوها اكثر أمن وأمان  يا عربان قال عرب قحاح قال,Offensive
إلى الذين ينتقضون جبران باسيل على محطة من دون مايفهموا مضمون الكلام الدبلوماسي لانه يخاطب روءساء دول وشعوبها,Non-Offensive
حبيبي خراس,Offensive
شو ما دفعلك ,Non-Offensive
من انت وان كنت عمامة ترتدي فما انت الا لزعيمك السياسي تعبدي فما انت الا حقير يطعمه الزعيم الفاسدي,Offensive
والله يا ستي حتى عربان بطلوا يلبقوا إلها همه بعران حمير خنازير اشي متل هيك,Offensive
المطلوب خروج جبران باسيل من المعادلة السياسية,Non-Offensive
الوجبة الشهية رح تكون جبران باسيل المعين مرعبي,Non-Offensive
الحمد لله كل من يعرف تاريخه جزمة ابن ستين جزمة حريمي يامرتزق ,Offensive
كفوا لسانكم عن القائد الخالد جوز أنيسة,Non-Offensive
عماد عثمان رح يدعس راسك أن شاء الله وغدا لناظره قريب ,Non-Offensive
وفِي طبقة مستقلة هي البغال البشرية مثلا الأخ صاحب التغريدة أدناه,Offensive
هذا رأيك ولكن نقاشنا عقيم لأن الوطنيه هي كل ظفر لبناني و ليس الآلاف ولك حرية التبعيه لوئام,Non-Offensive
السيد الرئيس الكافر بشار الأسد يحتفل بعيد المولد النبوي الشريف القيادة الحكيمة منحبك,Offensive
الشيطان الاصغر,Non-Offensive
هههه هاي قمة عربية لمساعدة دول الخليج كل عمرو هيك لبنان و رح يضل هيك يا قائد دمت لنا صوت الحق ,Non-Offensive
اسرائيل ترد على جبران باسيل حديثه لل سي ان ان عن حق اسرائيل هو كلام من باب تمسيح الجوخ وتبيض الطناجر ليصل الى رئاسة الجمهورية,Non-Offensive
الله يستر الشارع الفرنسي اليوم من خضة راشيل كرم عم تغطي التظاهرة,Non-Offensive
هيدا مستواك وهيدي أخلاقك,Non-Offensive
لماذا السكوت عن تفاهات جبران باسيل اما انتم موافقين على خطابه بالامس اما اصبحت الدولة من اعلى الهرم الى الاسفل وما بينهما,Non-Offensive
طبعاً جبران باسيل ولا مجال للمقارنة مع أي شخص آخر,Non-Offensive
وهاب أقترح عرض العماد عثمان على طبيب نفسي ,Non-Offensive
عهد العمالة,Non-Offensive
الله لا يحرمك من الهبل ان شاء الله ,Offensive
رئيس روحي؟ تروح روحك انت وكل مين شد عمشدك مش تنعترف بدار خلدة وأميرها الصغير بالأول يا حبيب قلبه,Offensive
قطر التي عمرت لبنان بعد حرب تموز انتم تجلبون الخراب للبنان وقطر تبني خرابكم شكرا والف شكرا قطر ,Non-Offensive
صباحك ورد معالي لوزير ,Non-Offensive
صدقني اذا كب حاله بالبحر كون على ثقه مابيستقبله رح يبزقه عالشط محدا متحمله الا لبنان,Non-Offensive
عندما يغرد القرد جبران باسيل,Offensive
معقولة امك توحمت على حمار,Offensive
شخص غير مسؤول بسب قطر وبشيد بالإمارات لان شكلها مادياً عم تساعده ,Non-Offensive
لغيت الإعجاب الي بالغلط بس طويطر كلب,Offensive
أصلاً الكرسي الألماني تبادل ثقافي,Non-Offensive
رائحة الحقد ظاهرة سؤال أنت من يصرف عليك,Non-Offensive
ياعمي بتحب سورية روح لعندها عيش فيها صرعت سمانا فيها انا لو بدلك بروح بعيش فيها بس بتعرف انك هونيك بتكون ميو بسين ,Non-Offensive
أنا بقلك راح الى جهنم بدك تروح لعندو العمى بقلبكم ,Offensive
يلعن روحك يا هنية على هالتصريح الصرّحتو,Offensive
بعد أن علم أن العهد القوي قد فشل وبعد ان علم ان جبران باسيل هو وزير خارجية لبنان,Non-Offensive
ما قالك الهمالالي ممنوع التملق وتمسيح الجوخ لترضي اسيادك عكل انا حا قول قولتكم الشهيرة شكرا قطر ,Non-Offensive
كلام صحيح الله يخليلنا ياك ويخلي أمثالك صاحب كلمة الحق ,Non-Offensive
قويه ياكبير ,Non-Offensive
هل نسيت ان اب و ام هذا الامير كانوا اول من زار لبنان بعد حرب و زاوا الجنوب و مولوا,Non-Offensive
بدك تعميل رايتينغ للحلقة؟ هاجم جبران باسيل أو إذكر إسمه مياومو الاعلام,Non-Offensive
لاء ووزير خارجيتنا المفصوم جبران باسيل قال ان تميم فك الحصار عن نفسه وحضر القمة  ,Non-Offensive
عفكرة وجع عيني عينك واقفين مع نظام فاسد تضربو بهالمنظر كلاب جحاش,Offensive
ولا تنسى انه قال ايضاً عن مذبحة تل الزعتر اتهم الماموس النجدي وتابعه ديوووس الشآااام وهدهده ,Offensive
و اتضحت الصورة المواطنة والعروبة بحسب جبران باسيل و تميم,Non-Offensive
طز ب فرنسا اوفكورس,Offensive
جبران باسيل مندوب المخابرات السورية وحزب الله,Non-Offensive
لم يستطيع الكون مواجه اسد واحد كيف اذا كانو اسدين ,Non-Offensive
اذا كان لواء عثمان عم يدمر مؤسسات الدوله انت عم تعمل فتنه في بلد لعن الله من ايقظها ,Non-Offensive
هذا يدور قطري مايدري ان امير قطر سلم قطر للتركي الفاسق يعني خليك مشرد ,Offensive
والله يامعالي الوزير الهيئه التانيه بتظبط اكتر ,Non-Offensive
ماشفت احد يحب جبران باسيل الا جمهور التيار ، اتفق العرب واللبنانيين على كراهية باسيل  ,Non-Offensive
تضربو بهالمنظر ياللي عم تقطعو الكهربا عندي امتحان بكرا وبدي ادرس شو مشانكم حسبي الله عليكم بس,Offensive
انا برأيي بركي بتفتحيلو للوزير جبران باسيل ملفات هوي وببطن امو ؟ حلوة الفكرة ما هيك ؟,Non-Offensive
هههههههه سبق ورأينا من هم أوهن من بيت العنكبوت ,Non-Offensive
فخامة الفراغ    ,Non-Offensive
فعلاً فعلاً رحم الله وسام الحسن فعلاً كان يميز بين الرجال وأنصاف الرجال إلا انتا ما كان يلاقيلك وصف,Non-Offensive
اذا الله عاطيهم ذكاء بالعيلة ومش عاطيكم شو ذنبهم ,Non-Offensive
والخراب اللي في اليمن وتقسيم اليمن وتشريد شعبه وتجويع شعبه واحتلال المواني فيه مش خراب,Non-Offensive
وهاب عن الخواجا وتشكيل الحكومة ,Non-Offensive
نشاركك فرحك و ضحكك على طنبر الجاهلية ,Offensive
انو طلعت صرخت الشعب اللبناني كله و قاعدين بلا شغل و تسكرت محلاتهم بسبب النازحين هلق اذا جبران,Non-Offensive
اضحكتني لو انت بمكانو رح تسرق اكتر يعمي لازم يكون في شغل حقيقي كل واحد يتعاقب ,Non-Offensive
لازم يعرضوك انت على طبيب بيطري مختص بالامراض النفسية ,Offensive
من أفاتارك يلي شكله مكسور هو أنفك,Non-Offensive
لازم تطبي عالأرض انتي وال وتبوسوا إجر جبران باسيل لان بسببه عم تحصلوا على دعم مالي خليجي,Offensive
تاريخنا مشرف تاريخنا معروف منا بحاجة لحدا يخبرنا عن تاريخنا ,Non-Offensive
اي شو يعني عم تنكت أو عم تخلق جو؟؟ العمى ما ابيخك ,Non-Offensive
قوية,Non-Offensive
ما بيضحك للرغيف السخن، مثل البهورجي ومن الخلف الستار مجرد ذنب ومرتزق ,Offensive
كل واحد درزي عايش و عمبيشتغل بقطر يلا لبرا ما بدنا ياه لنشوف اذا فيك تتحمل مسؤوليتون يا وئام ,Offensive
نصيحة احكي مع الرئيس ميشال عون او هاجم جبران باسيل مليار دولار جابو من قطر شكرا قطر,Non-Offensive
يجب أن يعلم الجميع أن الشجرة المثمرة ترشق دائما بالحجارة,Non-Offensive
واستنكر الحسيني في تصريح إلى «عكاظ» مطالبة «حزب الله» بدعوة النظام السوري المجمدة عضويته في الجامعة العربية إلى القمة,Non-Offensive
نحن نفتخر بسماحة الشيخ نصر الدين الغريب شيخ عقل طائفة الموحدين الدروز صاحب الأيادي البيضاء ونعتز به كممثل,Non-Offensive
صار يرسل وفود ابن الجاهلية بس مين سامع بإسمه بفنزويلا   ,Non-Offensive
لا بد ان تسقط حين يراهن العهد على ذاك الصبي الذي وصل جائعا للسلطة ولم يساعد في اي إنجاز يذكر,Non-Offensive
اه يا هبيلة على اساس وقت كنت انت وزير كان عنك مصلحة الوطن يا كلب ,Offensive
صفتو بمسح صرامي ع باب المطار ,Offensive
وب بس انضرب لعراق من بوش الاب مابعتو لعرب جيشهم لضرب لعراق دخلك ما كانت سوريا بيناتهم لينفي لجنرال ويوقف لحرب بلبنان ,Non-Offensive
وإذا كان العدد ألوف مثلاً رقم بسيط بحجم سكان لبنان سكان ضيعه فلا يعدوا لإقتصاده بشيء,Non-Offensive
اجواء اوروبيه بواقع صومالي زنجي حقير,Offensive
زنجي حقير يحسب نظام العصابات ينطبق على كل شيء,Offensive
اكيد عم تستقوي بحدا يا محتال، ولو عملا شي مرة وسمي انت شيخ بعضلاتك شو بدك بخلدة والاوزاعي والكوستا برافا ,Non-Offensive
طب خود هالكلمتين كول هوا,Offensive
افكار نازية لإبن الجاهلية   ,Non-Offensive
سعدنا بلقائكم أيها الأحبة شكراً لكم جميعاً جداً للغاية قلوب متعملقة حمراء و خضراء و بنفتحية,Non-Offensive
أنت كول هوا,Offensive
السيد نصرالله العلاقة مع الرئيس ميشال عون لم تتزعزع ابدا والعلاقة مع رئيس التيار الوطني الحر جبران باسيل لم تتبدل ابداً,Non-Offensive
سودا كلبه لول حقيرة,Offensive
بوق لإيران وكلبها وعميلها حسن زميره ومؤيد لإجرامهم وتتكلم وتتهم أمير قطر بدعم مايسمى الإرهاب عجبى ,Offensive
شكلك قاطع الأمل ما يطلعلك ولا دولار ,Non-Offensive
 جماعة التيار الله يحميك,Non-Offensive
عماد عثمان مفكر لبنان كوريدور بيتو ,Non-Offensive
يحق لهم ما يحق لغيرهم ,Non-Offensive
اذا شي ولا حدا منهن بس بعتقد جبران باسيل أكتر واحد مؤهل فيهن,Non-Offensive
اكيد حتى جبران باسيل لا يرضى به,Non-Offensive
ما بكفي الحذاء يجب محاسبتهم جميعا ,Non-Offensive
نصرالله كلام وزير الخارجية جبران باسيل عن ضرورة حل مسألة اخفاء الإمام الصدر كان مهماً,Non-Offensive
ليك يا خريو حبيبي والله ما تزعل مني بس قسم بالله سعد الحريري ما شايفك بس شايف ع طرزك كتير يلله غالوبس ينعن شكلك ,Offensive
المدن جبران باسيل مندوب مبيعات سوري,Non-Offensive
الوزير جبران باسيل ردا على سؤال إن كانت التوترات على الحدود الجنوبية للبنان مع إسرائيل تبقيه مستيقظا في الليل,Non-Offensive
خراس ياششمة فرنجية خراس واذا مابتعرف شو يعني ششمة هي بيديه مرحاض  تلئ راسك يا حقير يا زبالة اصلا تاريخ عيلتكن اسود متل وجك,Offensive
فخامة الرئيس لو شي فقير عبيعمل غرفة حتى ينيم ولادو كان تمرجل عليه عماد عثمان بس هذا الزلمي اسامه شهاب عامل مشروع بدون رخصة,Non-Offensive
وديعة بفائدة عالية من مصلحة السياسين اكيد ليسرقوها ,Non-Offensive
كل شخص بيفتري و بيتعرّض ل سمعة جبران باسيل مفروض يتحاسب,Non-Offensive
يستاهل الضرب اكثر قليل عليه هل الشئ ,Non-Offensive
أعز الله دمشق وأذل طاغيتها وأعوانه ,Non-Offensive
محل ما بيحط صباطه البراند دولته ما بيحط راسه قرعتك ,Offensive
لبناني قليل الحياء يستخف بالمشاهد بس هو مع من يدفع أكثر,Offensive
كول هوا بتعرف,Offensive
كان ورجيتوناا شي وانتوو بتحرقو علم قطر ,Non-Offensive
عاجل وزير الخارجية اللبناني جبران باسيل أمير قطر كسر الحصار الذي كان سيفرض على القمة ونشكره على خطوة مشاركته شخصيا,Non-Offensive
والله كبرت وصرت تبعت وفود      ,Non-Offensive
صرنا عاملين مسرحية الكيماوي خمسين مرة لنعطيهم ذريعة واهية يستخدموها باسقاطه بس عبث ما عمينتهزوا الفرصة يللي عميدفعولنا,Non-Offensive
معليش ما رح تتشكل وكل نوابا فاشلين ,Non-Offensive
هذا يستهبل و لا اهبل من جد,Offensive
المسؤول في التيار الوطني الحر ناجي حايك على خطى رئيس التيار جبران باسيل في تبرير التطبيع مع اسرائيل ناجي,Non-Offensive
شو وضع الاعلامي اليهودي اللي نجس الحرم المكي يا واطي ما عندك غير تسأل عن اللي وصل عندنا وانتو شغلكم تحت الطاوله,Offensive
نهبتني فامض على أثري لا تترك بعضي لأتعاسي ,Non-Offensive
يا حرام هالوطن شو صار متحمل ,Non-Offensive
شكراً على ذوقك دائماً مبيضلنا وجنا الشيخ نصر الدين الغريب ,Non-Offensive
لك سيدي احسن مو قاعدين بلا شغل,Non-Offensive
العمى يعميك شو جحش صحيح انك بلا حياء وما عندك ذرة كرامة يا واطي,Offensive
انت سيد الزلام وأكبر الرجال ومعلم وقبضاي أنا آسف إني كفرت بالذات الإلهية تبعك وقلتلك إنك عم تسوي شي غلط عفوك ورضاك يا سيد الرجال يا كاسر عيون الخوانس,Non-Offensive
شو هل كلبي انت بطهري لسانك قبل ما تحكي عن وليد جنبلاط وعن الدروز يا واطي,Offensive
لعما شو واطي ولوووو انت بشك انك درزي ابصر ما بحط بدمتي انت نذل و القناة يلي ملفيتك انذل صرماية وليد بيك عراصك يا حشرة,Offensive
لولا تميم و جبهة النصرة كان بشارك انتهى زمان يا مشلخ ,Offensive
وهاب ردًا على جنبلاط أتمنى عليك عدم التدخل بالتحقيق في إغتيال محمد أبوذياب ووقف التضليل ,Non-Offensive
العما بقلبو عمي شو حقير وسافل وحاقد هل واطي ولك مع الديمول ما بينهضم,Offensive
انت ناقص تحط تسعيرة على كلامك انت مأجور حاج تحكي و تورجينا انك فهيم انت ماجور و سعرك رخيص ,Offensive
خذ حياتي يا الهي,Non-Offensive
أهلا أهلا بأوطى جنس واطي شو كنت مختفي بمدرسة تدريب الكلاب عملت دورة تعواية يا عوووووو,Offensive
الأجدى بوزير الخارجية جبران باسيل الذي يستبسل مع رئيس الجمهورية لإعادة سوريا الى الجامعة العربية أن يركز جهوده وجهود العهد,Non-Offensive
ما بقى تنقل شعر شعر ما بقى تنقل حساين ,Non-Offensive
بدوا صرماية تسد نيعو وكثير عليه العمى شو واطي,Offensive
اكيد اكيد اكيد هذا ما بيتكلم من تمو واكيد فهمنا ولك تفووووو عليك يا شيطان ,Offensive
بدك شي شاكوش يضرب راسك ليفتح مخك  السيد مش لاكشك باجرو,Offensive
ما يبقى بعد النظر الا البقر بعد كل مخازي ونكبات ثورات الإخوان الخرفان مازال هناك بقر,Offensive
بدك تقنعني انو النسوان بلا مكياج مش متل الطناجر,Non-Offensive
تفو علي طول عمرو واطي روح نضب ياطلال ياعيب الشوم عليك بس شو بدي يحكي الواحد طول عمرك هيك رخيص,Offensive
يا حبيبي سعد الحريري باع دم بيو كرمال يعمر سوريا تفه شو واطي رح تروحو تحت الدعس طول بالك انت بدك تحكي رأيس وليد بيك جنبلاط يا وطي,Offensive
ثورة متخلفين طائفية من الضيع والقرى والأرياف كلهن تجار دين دمويين مانهن دكاترة عيون دارسين ببريطانيا متل سيادته,Offensive
رح اخلعك بلوك قد راسك العما  بينص قلبك شو واطي,Offensive
شو بدي قول إذا فيك دم روح فل من لبنان مكانك مش لبنان ياعميل بشار عفوا كلب بشار ,Offensive
وانت صغير يا فتنجي ,Offensive
كول هوا انت واياه,Offensive
شو بترد على واطي وحقير مثلك جبان بلا اخلاق تفو يلعن ابو اصلك,Offensive
يستاهل الردود العنيفه طالما لبنان لا تردعه ,Non-Offensive
لو مواطن عادي بنى خيمة قرميد ليستر عائلته لتحركة كل اجهزة الدولة وعندما تنهب مافيا السلطة الاملاك العامة لا تحركوا ساكن ,Non-Offensive
وهل تسمع له ما يقول   ,Non-Offensive
ولا ساقط اكبر من حجمو ,Offensive
بس يا ريت حدا بيعطينا اسم هالفطحل يللي طلع بفكرة انو القطاع العام يسكر السبت,Non-Offensive
للمفارقة في بلدي على اليسار باسل الصفدي عبقري خوارزميات ومصنف بين أفضل مفكر عالمي وعلى اليمين حافظ بشار الأسد الحاصل على لقب جحش الرياضيات,Offensive
قمه بيروت نكتة صدقها جبران باسيل ورأى فيها نفسه مسؤولا عن لبنان فيما هو لا يكبر ولا يمثّل,Non-Offensive
هذه المرة خبصت يا وهابايه تلي حصل قطر وايران اصحاب وايران وحزبله حبايب شو صار قلبت علي قطرما دفع ,Non-Offensive
فعلا نطقك وشكلك مقزز جدا ,Offensive
الاستاذ وئام وهاب من ارقى الساسة بالشرق الاوسط صريح شجاع مهني شريف وطني تحياتنا من العراق الجريح ,Non-Offensive
التاريخ بيتذكر رجال لهم قراراتهم كلمتهم تبقى لأجيال وأجيال عندهم خط سياسي واحد ما بزيحوا عنه أصحاب رؤيا,Non-Offensive
اثناء قراءة شعر ايليا ابي ماضي بحب اشكر حظنا جميعنا انو أدباء المهجر ما كانوا من جماعة نحنا مش عرب نحنا فينيقيين,Non-Offensive
وزير خارجية لبنان جبران باسيل هو ممثل النظام السوري بقمة بيروت مادامت سوريا موجودة ليش بري قاطع القمة,Non-Offensive
عم بيهاجمو جبران باسيل حقنا نرد ونقللن انو اعلامكم مرتهن وفاجر,Offensive
المباراة حاليا متل فصيل مسلح جربان ضد جيش جربان,Non-Offensive
بس حدا يقول مين هو هيدا النذل الطرطور يلي عمل هيك بامو تفه عليه شو واطي إلك يوم يا عاق واللهِ ولادك رح يكبوك كبة أوسخ من هيك وما تلاقي مين يلمك,Offensive
نجحنا بقوتنا شكراً فخامة الرئيس ومعالي الوزير جبران باسيل,Non-Offensive
وديع الشيخ هو جبران باسيل الفن,Non-Offensive
يخرب بيتك شو واطي,Offensive
مايقدر يرد ابن درزيه واطي,Offensive
لما هشام تصالح مع جبران باسيل صار معو مشكلة مع صديقه جاد,Non-Offensive
فينا نعرف مين المرجع الكبير معاليك؟؟؟ ,Non-Offensive
وقال نفس شي عن الحركة المهم سمعته شو قال عن الوزير جبران باسيل صدمت صعقت جلطة جبران حلت عليك,Non-Offensive
فين فى التغريده قولت كلنا و نحب احترم رايك بس لا تقولنى مالم اقله ,Non-Offensive
بدي تاكل هوا و بس,Offensive
هذا ليس الكلاب من كلاب إيران وحزب الشيطان ,Offensive
ولك يا عمّي خلّولنا شي واحد يوقف كرامة فخامة هلرئيس آخر أيامه حاجتنا بهدلي ,Non-Offensive
حمير المصيبة بينسمع كلامهن,Non-Offensive
تقبرني جبران باسيل قبل ما تنسينا زعامة كميل شمعون وانجازاتو جيب الكهرباء يلي وعدتنا فيها بال وبس تخلص,Non-Offensive
الله اكبر عليك اللي استحو ماتو العقاب لوهاب وهاب قاتل ابو دياب ,Non-Offensive
لن ينسى أهل سوريا المجرم أبو صووايخ اللي بدو يحرر القدس بس يخلص أول على نساء وأطفال سوريا ,Non-Offensive
افيخاي ادرعي شكراً على المواقف المشرفة يا معالي الوزير جبران باسيل,Non-Offensive
كول هوا,Offensive
حقي يا سافر يا عديم الحشمة و الحياء,Offensive
وهّاب رداً على جنبلاط لا تتدخل ,Non-Offensive
والله انك انت بتحكي بأصلك كرمال هيك عم بحاربوك من الضاحية ألف سلام لرجل الجبل وئام وهاب   ,Non-Offensive
في واحد بي المكسيك ناطرينو يطلع من العصفورية بي هل يومين انشالله,Non-Offensive
بيسي بيسي ناو قومي خراس بقا,Offensive
زمن التبعيه والتعطيل اكيد مين في غيروا جبران باسيل,Non-Offensive
مهضوم ما باك شي  بس لو قالولن بتشبهوا وئام وهاب، كانو استقالوا ,Non-Offensive
مبلا بيقدر يغضب علينا اكتر ويستقيل ويجي محله جبران باسيل,Non-Offensive
عماد عثمان منو قاريك خليك عم بتعوي من اليوم لبكرا ,Offensive
عزيزي وجهة نظرك هي وجهة نظري هذه الارض من البحر للنهر هي فلسطين وليس من وجود لكلمة اسرائيل,Non-Offensive
نهاد الرعديد هههههه ,Non-Offensive
قويه هاي    ,Non-Offensive
أنا لا يمثلني جبران باسيل أن يكون وزير خارجيتي اذا كتير حابب تطبع مع إسرائيل ما في مشكلة معاليك,Non-Offensive
ريتك خ وما حكيت ,Non-Offensive
معالي وزير التخبيص الخارجي,Non-Offensive
قرفتنا يا زلمي ,Non-Offensive
اهلا و سهلا بامير قطر تاج راسك يا فاسد يا بوق روح عقطر و شوف التطور و التمدن و الاحترام ,Offensive
اذا اردت ان تشتم انسان فتقول له حمار اما اذا ا دت ان تشتم حمار فما عليك الا ان تقول له انت وئام وهاب ,Offensive
اه والله معاليك معك حق عملوا أضرب من جماعة يلّي هللوا لتدخل أبو علي بوتين بالحرب السورية ,Non-Offensive
شغلتك و مشغلتك بوق ,Non-Offensive
اشترت وزارة الخارجية عالقليلة يقولولنا مرسي,Non-Offensive
أستاذ فارس هذا هو كلام الحق وهكذا عرفناك لا نريد عودته إلى لبنان لانه لا ينتمي إلى لبنان وشعب لبنان الشرفاء,Non-Offensive
الحريري حليف قوي للمملكة و هو من يؤلف الحكومة، ليش ما بيبعدو عن التشكيلة الحكومية لا بل يعيد و يكرر,Non-Offensive
الأردن بنت ميتين الوسخة قفلت الحدود بشكل كامل مع درعا عشان لا مدني ولا عسكري يعدي لما حملة النظام تبدأ الأردن ياما عطلت,Offensive
جبران باسيل حاقد على مفرزات الطاءف ويعمل للانقلاب عليه ليعيد الى الموقع المسيحي قوته قبل الطاءف,Non-Offensive
لم يقولوا جبران باسيل,Non-Offensive
إستحوا بقى,Non-Offensive
عمرنا ماتدخلنا بغيرنا ابعدوا كلابكم عنا والمنشار نحطه في ذنبك ياذنب انت ومن يحميك ,Offensive
ما قلتلي بتعيرتي شواربك لمع فيهن صباطي,Offensive
جبران باسيل زوجته والدها أحد الضباط السوريين لهيك بحب حافظ وبشار,Non-Offensive
جبران باسيل لو كان يريد وطنا لما تطاول على الرئيس بري ووصفه بالبلطجي,Non-Offensive
لوُ عنُا دوله بتحترم حالها إنت ما كنت عملت نائب أو وزير,Non-Offensive
بلشوا بالحرام الكبير جبران باسيل نحنا كفنا نضيف غصب عنكن,Non-Offensive
جبران باسيل فوبيا العصر,Non-Offensive
فعلا اما دولة او لا دولة ,Non-Offensive
اللي بيوقف ورا المراسلين و بيقول باي للكاميرا و بيتلفن لأمه تتشوفو عالتلفزيون جايي يتفلسف و يترجملي تصريحات جبران,Non-Offensive
الأمين القطري المساعد لحزب البعث العربي الاشتراكي جبران باسيل,Non-Offensive
وانتي كمان خرسي   ,Offensive
يا سيد ابو صفوان انا لا اعرفك ولكن من يقرأ ما غردت به عن حزب الله والدويله,Non-Offensive
جبران باسيل يهدد أمن إسرائيل,Non-Offensive
يا سبحان الله وئام زفت يشتم ف أمير قطر الحين و قبلها كان يمدح فيها و يقول منافق و الله انت المنافق,Offensive
لو في دولة محترمة حالا ما كنا صوتك منسمعو ع قولة زياد الرحباني مجرص الحزب فيك ,Non-Offensive
اقسم بالله انتي لو قدامي بالمجان ما اسويلك شي يا زنجية جاتك القرف يا سودا,Offensive
الحقير بيعرف حالو وما الك حق تحتقر حدا ما بدك تحترم رأيو انت حر ، رح الك شي وحر ما تحترموا أنت أثبتت إنك إنسان فاشل ولو بتحترم حالا بتقحطلك ولو في حدا من هول لي بتتمسخر عليهن بيحترموا حالن ليكسرولك راسك والغرور رح يقتلك وأكيد برنامجك,Offensive
يا وهاب وقت كانت قطر بل ضاحية قلتم لها شكرا اذا هي صندوق اسود سؤال لحضرتك سنة سوريا ب لبنان,Non-Offensive
جبران باسيل بدو يعلم أمريكا ولندن كيف تدير بلد بدون ميزانية,Non-Offensive
تخيل قديش لبنان زبالة اذا وش السحارة تبعه جيسيكا عازار,Offensive
يا لطيف ما ازنخه,Offensive
معادلة قرآنية هذه معاليك ناتي بقوم غيركم ثم لا يكونوا امثالكم ,Non-Offensive
والله جبتي البهدلة ل الك لانك بتستاهليها انتو ما بيلبقلكن متل الشيخ سعد يحترمكن وما يرد,Non-Offensive
يا معاليك انا بدالك بخاف من انو يكون في دولة قوية ,Non-Offensive
والله انك كذاب يا اصلع الرأس والاخلاق بس ماقصر الزول نتف باقي الشعر…,Offensive
نحترم كل المشايخ الاجلاء ولكن انت مين بعد بيحترمك على لعب دورك الفتناوي داخل الطائفه وشكرا ,Non-Offensive
انت ما بتمل من الحكي لك استحييييي ,Non-Offensive
فيه متل بيقول إلي بيضحكك احسن من إلي بيضحك عليك معاليك ,Non-Offensive
